Record,Data
Output Report,05 00 0d 05 d0 1f 04 e0 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f
Input Report,05 0d 01 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 75 00 00 00 b9 00 00 00 1b 00 00 00 00 00 00 00 0d 00 00 00 90 00 00 00 05 00 00 00 b1 00 00 00
Output Report,05 00 06 05 bc 1f 04 e0 0f 0f 0f 0f 0f
Input Report,05 06 01 13 4a 70 47 00 00 00 00 00 00 00 00 00 00 00 00 13 00 00 00
Output Report,05 00 0d 05 d0 0f 04 e0 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f
Input Report,05 0d 01 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a9 00 00 00 b9 00 00 00 0b 00 00 00 00 00 00 00 0d 00 00 00 90 00 00 00 05 00 00 00 b1 00 00 00
Output Report,05 00 06 05 bc 0f 04 e0 0f 0f 0f 0f 0f
Input Report,05 06 01 00 00 00 00 00 00 00 00 00 00 00 00 a1 0c 00 00 11 00 00 00
Output Report,05 00 02 05 f0 ed 00 e0 0d 01 00 5f a0
Input Report,05 02 01
Output Report,05 00 02 05 04 20 04 e0 0d 07 00 00 00
Input Report,05 02 01
Output Report,05 00 02 05 08 20 04 e0 0d 00 00 00 00
Input Report,05 02 01
Output Report,05 00 02 05 0c 20 04 e0 0d 00 00 00 00
Input Report,05 02 01
Output Report,05 00 02 05 00 ed 00 e0 0f
Input Report,05 02 01 71 c2 1f 41
Output Report,05 00 02 05 40 ef 00 e0 0f
Input Report,05 02 01 21 00 11 10
Output Report,05 00 02 05 48 ef 00 e0 0f
Input Report,05 02 01 40 00 00 00
Output Report,05 00 02 05 fc ed 00 e0 0f
Input Report,05 02 01 00 00 00 01
Output Report,05 00 02 05 fc ed 00 e0 0f
Input Report,05 02 01 00 00 00 01
Output Report,05 00 02 05 00 10 00 e0 0f
Input Report,05 02 01 00 00 00 40
Output Report,05 00 0c 05 28 10 00 e0 0d 00 00 00 00 05 38 10 00 e0 0d 00 00 00 00 05 48 10 00 e0 0d 00 00 00 00 05 58 10 00 e0 0d 00 00 00 00 05 00 10 00 e0 0d 01 00 00 00 05 00 20 00 e0 0f
Input Report,05 0c 01 80 00 00 10
Output Report,05 00 14 05 00 20 00 e0 0d 02 00 00 00 05 08 20 00 e0 0d 00 00 00 00 05 0c 20 00 e0 0d 00 00 00 00 05 10 20 00 e0 0d 00 00 00 00 05 14 20 00 e0 0d 00 00 00 00 05 18 20 00 e0 0d 00 00 00 00 05 1c 20 00 e0 0d 00 00 00 00 05 20 20 00 e0 0d 00 00 00 00 05 24 20 00 e0 0d 00 00 00 00 05 fc ed 00 e0 0f
Input Report,05 14 01 00 00 00 01
Output Report,05 00 02 05 b4 0f 00 e0 0f
Input Report,05 02 01 00 00 00 00
Output Report,05 00 06 05 00 0e 00 e0 0d 00 00 00 00 05 80 0e 00 e0 0d 00 00 00 00 05 c8 0f 04 e0 0f
Input Report,05 06 01 a1 0c 00 00
Output Report,05 00 02 05 f0 ed 00 e0 0d 03 00 5f a0
Input Report,05 02 01
Output Report,05 00 65 05 00 00 01 20 0d 00 c0 03 20 0d fd 07 01 20 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 34 20 30 78 0d 34 30 30 30 0d 2c 31 20 30 0d 78 31 30 30 0d 30 30 2c 25 0d 64 20 30 78 0d 32 30 30 30 0d 30 2c 34 20 0d 30 78 34 30 0d 30 30 2c 31 0d 20 30 78 31 0d 30 30 30 30 0d 2c 25 64 20 0d 30 78 32 30 0d 30 30 30 00 0d 49 6e 69 74 0d 20 66 61 69 0d 6c 65 64 21 0d 20 44 65 76 0d 69 63 65 20 0d 6e 6f 74 20 0d 72 65 63 6f 0d 67 6e 69 7a 0d 65 64 2e 00 0d 1c b5 1f 4c 0d 04 f1 18 00 0d 61 69 01 90 0d 63 68 00 91 0d a2 68 21 69 0d 20 68 00 f0 0d 37 f8 60 60 0d 13 bd 10 b5 0d 17 4c e3 68 0d 62 68 a1 68 0d 20 68 00 f0 0d 13 f9 60 60 0d 10 bd 70 b5 0d 12 4c 21 69 0d 79 b9 e5 68 0d 00 26 00 20 0d 62 68 96 42 0d 13 d2 69 68 0d 28 68 00 f0 0d b5 f9 00 28 0d 04 bf 08 35 0d 76 1c f3 d0 0d 09 e0 20 68 0d 00 f0 ac f9 0d 28 b9 e3 68 0d 62 68 a1 68 0d 20 68 00 f0 0d f3 f8 60 60 0d 70 bd 80 b5 0d 00 f0 23 fa 0d 01 49 48 60 0d 01 bd 00 00 0d 7c be 03 20 0d fe e7 c8 00 0d 2d e9 fe 4f 0d df f8 58 54 0d df f8 58 74 0d 68 69 df f8 0d 58 64 c1 06 0d 02 d5 32 68 0d 10 06 09 d5 0d 71 68 40 f2 0d ff 12 79 61 0d ff 20 72 60 0d 01 23 30 60 0d 7b 70 01 e0 0d 00 21 79 70 0d 0c 9c 00 20 0d b8 60 4f f0 0d 02 09 82 46 0d 00 2c 2c dd 0d 0f f2 60 42 0d dd f8 34 80 0d 00 92 d8 f8 0d 00 b0 0f f2 0d 3c 40 59 46 0d 00 f0 4c fa 0d 10 b9 4f f0 0d 00 09 18 e0 0d 59 46 0f f2 0d 30 40 00 f0 0d 43 fa 10 b9 0d 4f f0 01 09 0d 0f e0 59 46 0d 0f f2 24 40 0d 00 f0 3a fa 0d 10 b9 4f f0 0d 03 09 06 e0
Input Report,05 65 01
