Record,Data
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,03
Input Report,03 00
