Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary
0,HS,117,2:56.507.228,1.866 us,64 B,K,03,02,Output Report,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,118,2:56.507.228,1.866 us,64 B,,03,02,   OUT txn,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,119,2:56.507.228,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,120,2:56.507.228,1.133 us,67 B,,03,02,      DATA1 packet,4B 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C D0,
2,HS,121,2:56.507.229,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,122,2:56.000.665,506.688.750 ms,64 B,K,03,04,Input Report,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,123,2:56.000.665,506.688.750 ms,64 B,,03,04,   IN txn   [4053 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,124,2:56.000.665,506.562.233 ms,,,03,04,      [4053 IN-NAK],,
2,HS,125,2:56.507.352,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,126,2:56.507.352,1.133 us,67 B,,03,04,      DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF D0,
2,HS,127,2:56.507.354,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,128,2:56.507.603,1.883 us,64 B,K,03,02,Output Report,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,129,2:56.507.603,1.883 us,64 B,,03,02,   OUT txn,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,130,2:56.507.603,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,131,2:56.507.603,1.150 us,67 B,,03,02,      DATA0 packet,C3 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C D0,
2,HS,132,2:56.507.605,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,133,2:56.507.477,251.933 us,64 B,K,03,04,Input Report,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,134,2:56.507.477,251.933 us,64 B,,03,04,   IN txn   [2 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,135,2:56.507.477,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,136,2:56.507.727,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,137,2:56.507.727,1.150 us,67 B,,03,04,      DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF D0,
2,HS,138,2:56.507.729,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,139,2:56.507.978,1.883 us,64 B,K,03,02,Output Report,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,140,2:56.507.978,1.883 us,64 B,,03,02,   OUT txn,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,141,2:56.507.978,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,142,2:56.507.978,1.150 us,67 B,,03,02,      DATA1 packet,4B 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C D0,
2,HS,143,2:56.507.980,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,144,2:56.507.852,251.916 us,64 B,K,03,04,Input Report,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,145,2:56.507.852,251.916 us,64 B,,03,04,   IN txn   [2 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,146,2:56.507.852,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,147,2:56.508.102,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,148,2:56.508.102,1.133 us,67 B,,03,04,      DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF D0,
2,HS,149,2:56.508.104,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,150,2:56.508.353,1.883 us,64 B,K,03,02,Output Report,00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,151,2:56.508.353,1.883 us,64 B,,03,02,   OUT txn,00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,152,2:56.508.353,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,153,2:56.508.353,1.150 us,67 B,,03,02,      DATA0 packet,C3 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA 11,
2,HS,154,2:56.508.355,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,155,2:56.508.227,251.933 us,64 B,K,03,04,Input Report,00 06 32 2E 31 2E 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,156,2:56.508.227,251.933 us,64 B,,03,04,   IN txn   [2 POLL],00 06 32 2E 31 2E 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,157,2:56.508.227,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,158,2:56.508.477,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,159,2:56.508.477,1.150 us,67 B,,03,04,      DATA0 packet,C3 00 06 32 2E 31 2E 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A A2,
2,HS,160,2:56.508.479,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,161,2:56.508.731,1.883 us,64 B,K,03,02,Output Report,00 05 32 2E 31 2E 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,162,2:56.508.731,1.883 us,64 B,,03,02,   OUT txn,00 05 32 2E 31 2E 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,163,2:56.508.731,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,164,2:56.508.732,1.150 us,67 B,,03,02,      DATA1 packet,4B 00 05 32 2E 31 2E 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 89 A2,
2,HS,165,2:56.508.733,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,166,2:56.508.602,251.916 us,64 B,K,03,04,Input Report,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,167,2:56.508.602,251.916 us,64 B,,03,04,   IN txn   [2 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,168,2:56.508.602,128.650 us,,,03,04,      [2 IN-NAK],,
2,HS,169,2:56.508.852,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,170,2:56.508.852,1.133 us,67 B,,03,04,      DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF D0,
2,HS,171,2:56.508.854,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,172,2:56.509.103,1.866 us,64 B,K,03,02,Output Report,00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,173,2:56.509.103,1.866 us,64 B,,03,02,   OUT txn,00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,174,2:56.509.103,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,175,2:56.509.103,1.133 us,67 B,,03,02,      DATA0 packet,C3 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 39 D1,
2,HS,176,2:56.509.105,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,177,2:56.508.977,251.900 us,64 B,K,03,04,Input Report,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,178,2:56.508.977,251.900 us,64 B,,03,04,   IN txn   [2 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,179,2:56.508.977,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,180,2:56.509.227,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,181,2:56.509.227,1.150 us,67 B,,03,04,      DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF D0,
2,HS,182,2:56.509.229,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,183,2:56.509.478,1.883 us,64 B,K,03,02,Output Report,00 F0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,184,2:56.509.478,1.883 us,64 B,,03,02,   OUT txn,00 F0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,185,2:56.509.478,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,186,2:56.509.478,1.133 us,67 B,,03,02,      DATA1 packet,4B 00 F0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4F EC,
2,HS,187,2:56.509.480,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,188,2:56.509.352,251.916 us,64 B,K,03,04,Input Report,00 01 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,189,2:56.509.352,251.916 us,64 B,,03,04,   IN txn   [2 POLL],00 01 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,190,2:56.509.352,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,191,2:56.509.602,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,192,2:56.509.602,1.133 us,67 B,,03,04,      DATA1 packet,4B 00 01 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF D3,
2,HS,193,2:56.509.604,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,194,2:56.509.853,1.866 us,64 B,K,03,02,Output Report,00 FD 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,195,2:56.509.853,1.866 us,64 B,,03,02,   OUT txn,00 FD 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,196,2:56.509.853,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,197,2:56.509.853,1.133 us,67 B,,03,02,      DATA0 packet,C3 00 FD 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03 EC,
2,HS,198,2:56.509.855,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,199,2:56.509.727,251.900 us,64 B,K,03,04,Input Report,FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,200,2:56.509.727,251.900 us,64 B,,03,04,   IN txn   [2 POLL],FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,201,2:56.509.727,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,202,2:56.509.977,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,203,2:56.509.977,1.150 us,67 B,,03,04,      DATA0 packet,C3 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C0 C0,
2,HS,204,2:56.509.979,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,205,2:56.510.228,1.883 us,64 B,K,03,02,Output Report,00 FE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,206,2:56.510.228,1.883 us,64 B,,03,02,   OUT txn,00 FE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,207,2:56.510.228,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,208,2:56.510.229,1.133 us,67 B,,03,02,      DATA1 packet,4B 00 FE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C0 2F,
2,HS,209,2:56.510.230,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,210,2:56.510.102,251.916 us,64 B,K,03,04,Input Report,00 01 01 2E 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,211,2:56.510.102,251.916 us,64 B,,03,04,   IN txn   [2 POLL],00 01 01 2E 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,212,2:56.510.102,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,213,2:56.510.352,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,214,2:56.510.352,1.133 us,67 B,,03,04,      DATA1 packet,4B 00 01 01 2E 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 90,
2,HS,215,2:56.510.354,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,216,2:56.510.603,1.866 us,64 B,K,03,02,Output Report,00 FF 01 2E 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,217,2:56.510.603,1.866 us,64 B,,03,02,   OUT txn,00 FF 01 2E 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,218,2:56.510.603,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,219,2:56.510.604,1.133 us,67 B,,03,02,      DATA0 packet,C3 00 FF 01 2E 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B7 6F,
2,HS,220,2:56.510.605,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,221,2:56.510.477,255.150 us,64 B,K,03,04,Input Report,00 02 40 00 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,222,2:56.510.477,255.150 us,64 B,,03,04,   IN txn   [2 POLL],00 02 40 00 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,223,2:56.510.477,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,224,2:56.510.730,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,225,2:56.510.731,1.133 us,67 B,,03,04,      DATA0 packet,C3 00 02 40 00 31 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5C CB,
2,HS,226,2:56.510.732,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,227,2:56.512.978,1.866 us,64 B,K,03,02,Output Report,11 80 96 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,228,2:56.512.978,1.866 us,64 B,,03,02,   OUT txn,11 80 96 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,229,2:56.512.978,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,230,2:56.512.979,1.133 us,67 B,,03,02,      DATA1 packet,4B 11 80 96 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A8 EC,
2,HS,231,2:56.512.980,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,232,2:56.510.852,2.252.166 ms,64 B,K,03,04,Input Report,11 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,233,2:56.510.852,2.252.166 ms,64 B,,03,04,   IN txn   [18 POLL],11 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,234,2:56.510.852,2.125.666 ms,,,03,04,      [18 IN-NAK],,
2,HS,235,2:56.513.102,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,236,2:56.513.103,1.150 us,67 B,,03,04,      DATA1 packet,4B 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7A 2C,
2,HS,237,2:56.513.104,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,238,2:56.513.353,1.883 us,64 B,K,03,02,Output Report,02 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,239,2:56.513.353,1.883 us,64 B,,03,02,   OUT txn,02 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,240,2:56.513.353,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
