Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary
0,HS,513,2:56.523.480,1.866 us,64 B,K,03,02,Output Report,08 00 1E 00 00 00 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,514,2:56.523.480,1.866 us,64 B,,03,02,   OUT txn,08 00 1E 00 00 00 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,515,2:56.523.480,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,516,2:56.523.480,1.133 us,67 B,,03,02,      DATA1 packet,4B 08 00 1E 00 00 00 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 56 78,
2,HS,517,2:56.523.482,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,518,2:56.523.229,376.916 us,64 B,K,03,04,Input Report,08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,519,2:56.523.229,376.916 us,64 B,,03,04,   IN txn   [3 POLL],08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,520,2:56.523.229,250.416 us,,,03,04,      [3 IN-NAK],,
2,HS,521,2:56.523.604,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,522,2:56.523.604,1.133 us,67 B,,03,04,      DATA1 packet,4B 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD D6,
2,HS,523,2:56.523.606,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,524,2:56.523.855,1.883 us,64 B,K,03,02,Output Report,05 00 06 04 00 00 00 50 08 00 00 00 00 01 02 00 00 E3 05 08 20 04 E0 0F 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,525,2:56.523.855,1.883 us,64 B,,03,02,   OUT txn,05 00 06 04 00 00 00 50 08 00 00 00 00 01 02 00 00 E3 05 08 20 04 E0 0F 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,526,2:56.523.855,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,527,2:56.523.855,1.133 us,67 B,,03,02,      DATA0 packet,C3 05 00 06 04 00 00 00 50 08 00 00 00 00 01 02 00 00 E3 05 08 20 04 E0 0F 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DC 30,
2,HS,528,2:56.523.857,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,529,2:56.523.729,251.916 us,64 B,K,03,04,Input Report,05 06 01 00 18 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,530,2:56.523.729,251.916 us,64 B,,03,04,   IN txn   [2 POLL],05 06 01 00 18 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,531,2:56.523.729,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,532,2:56.523.979,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,533,2:56.523.979,1.150 us,67 B,,03,04,      DATA0 packet,C3 05 06 01 00 18 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 74 1C,
2,HS,534,2:56.523.981,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,535,2:56.524.230,1.866 us,64 B,K,03,02,Output Report,08 00 1E 00 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,536,2:56.524.230,1.866 us,64 B,,03,02,   OUT txn,08 00 1E 00 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,537,2:56.524.230,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,538,2:56.524.230,1.133 us,67 B,,03,02,      DATA1 packet,4B 08 00 1E 00 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 25 D7,
2,HS,539,2:56.524.232,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,540,2:56.524.104,251.900 us,64 B,K,03,04,Input Report,08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,541,2:56.524.104,251.900 us,64 B,,03,04,   IN txn   [2 POLL],08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,542,2:56.524.104,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,543,2:56.524.354,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,544,2:56.524.354,1.133 us,67 B,,03,04,      DATA1 packet,4B 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD D6,
2,HS,545,2:56.524.356,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,546,2:56.524.605,1.883 us,64 B,K,03,02,Output Report,05 00 06 04 00 00 00 50 08 00 00 00 00 01 02 00 00 E3 05 04 20 04 E0 0F 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,547,2:56.524.605,1.883 us,64 B,,03,02,   OUT txn,05 00 06 04 00 00 00 50 08 00 00 00 00 01 02 00 00 E3 05 04 20 04 E0 0F 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,548,2:56.524.605,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
